,Bandit,Reward,Algorithm
0,3,3.7280142952709903,Thompson Sampling
1,3,3.1564284036755135,Thompson Sampling
2,3,5.256713516675721,Thompson Sampling
3,3,2.831053493855184,Thompson Sampling
4,3,3.809381837960737,Thompson Sampling
5,3,4.982787165359584,Thompson Sampling
6,3,5.469896395785822,Thompson Sampling
7,3,3.2005760068751457,Thompson Sampling
8,3,4.7238448013914205,Thompson Sampling
9,3,3.700859147735325,Thompson Sampling
10,3,5.651435558472863,Thompson Sampling
11,3,5.141456910707571,Thompson Sampling
12,3,5.3030980121090066,Thompson Sampling
13,3,3.5215812092472785,Thompson Sampling
14,3,2.1758555363543146,Thompson Sampling
15,3,5.557819926913269,Thompson Sampling
16,3,4.403843552757352,Thompson Sampling
17,3,3.8963762314759087,Thompson Sampling
18,3,2.7164726645340047,Thompson Sampling
19,3,6.359266760151488,Thompson Sampling
20,3,4.204376870905481,Thompson Sampling
21,3,3.950163138864889,Thompson Sampling
22,3,4.893801597462753,Thompson Sampling
23,3,3.8692166627267826,Thompson Sampling
24,3,4.132246193940327,Thompson Sampling
25,3,2.9560808609911957,Thompson Sampling
26,3,4.055269044200501,Thompson Sampling
27,3,2.8190699871056744,Thompson Sampling
28,3,5.436931799543796,Thompson Sampling
29,3,4.547936875785706,Thompson Sampling
30,3,5.829455822223528,Thompson Sampling
31,3,5.27544772709664,Thompson Sampling
32,3,5.269025613710362,Thompson Sampling
33,3,5.5678178977379025,Thompson Sampling
34,3,3.1872779861925564,Thompson Sampling
35,3,4.668557501142749,Thompson Sampling
36,3,4.872507447972678,Thompson Sampling
37,3,1.71046747066335,Thompson Sampling
38,3,4.345216910992042,Thompson Sampling
39,3,3.2319869900836027,Thompson Sampling
40,3,4.164842199857258,Thompson Sampling
41,3,3.4894378447126613,Thompson Sampling
42,3,4.16494559300915,Thompson Sampling
43,3,5.347136567628464,Thompson Sampling
44,3,4.325655333280516,Thompson Sampling
45,3,3.297832911675603,Thompson Sampling
46,3,2.9453258053965836,Thompson Sampling
47,3,3.445718651742272,Thompson Sampling
48,3,3.7272407069460978,Thompson Sampling
49,3,3.2967182914348827,Thompson Sampling
50,3,5.1337302323722245,Thompson Sampling
51,3,5.6303763685431365,Thompson Sampling
52,3,3.686379617550374,Thompson Sampling
53,3,5.181392144983097,Thompson Sampling
54,3,4.105762871218889,Thompson Sampling
55,3,3.0933082836513064,Thompson Sampling
56,3,3.3521525139468684,Thompson Sampling
57,3,4.311559234922051,Thompson Sampling
58,3,3.9074353662854975,Thompson Sampling
59,3,3.907093451560327,Thompson Sampling
60,3,3.767292783933063,Thompson Sampling
61,3,5.334350856128348,Thompson Sampling
62,3,3.2636273979527095,Thompson Sampling
63,3,4.189511159842726,Thompson Sampling
64,3,4.6981196299823615,Thompson Sampling
65,3,4.148156452381232,Thompson Sampling
66,3,3.934722743093084,Thompson Sampling
67,3,4.749238233514667,Thompson Sampling
68,3,3.631214459793542,Thompson Sampling
69,3,3.7879547690804243,Thompson Sampling
70,3,4.804684548076412,Thompson Sampling
71,3,5.747639924406952,Thompson Sampling
72,3,5.800757401282785,Thompson Sampling
73,3,3.6084953171478666,Thompson Sampling
74,3,3.0532498857353243,Thompson Sampling
75,3,4.824073184099733,Thompson Sampling
76,3,2.2086251079646653,Thompson Sampling
77,3,5.678383227411812,Thompson Sampling
78,3,3.1006717623244158,Thompson Sampling
79,3,4.024348972681899,Thompson Sampling
80,3,3.5561578563196434,Thompson Sampling
81,3,4.2342175004015985,Thompson Sampling
82,3,2.4420211488095553,Thompson Sampling
83,3,2.439038969276946,Thompson Sampling
84,3,4.54032576222826,Thompson Sampling
85,3,4.538643750224205,Thompson Sampling
86,3,3.7637313465787425,Thompson Sampling
87,3,4.505340146746077,Thompson Sampling
88,3,2.4146519088274134,Thompson Sampling
89,3,3.7257024964821497,Thompson Sampling
90,3,5.588695357337793,Thompson Sampling
91,3,4.488010401946841,Thompson Sampling
92,3,4.134743680646629,Thompson Sampling
93,3,3.500807460572012,Thompson Sampling
94,3,4.438298388861513,Thompson Sampling
95,3,3.4471425189728926,Thompson Sampling
96,3,5.425399393709498,Thompson Sampling
97,3,4.553770802662178,Thompson Sampling
98,3,4.786461028359744,Thompson Sampling
99,3,4.674959133906469,Thompson Sampling
100,3,5.458169122400079,Thompson Sampling
101,3,3.942035093374488,Thompson Sampling
102,3,3.130110673743522,Thompson Sampling
103,3,2.950725255246663,Thompson Sampling
104,3,4.232070271485802,Thompson Sampling
105,3,4.542605349178608,Thompson Sampling
106,3,3.0090184546236523,Thompson Sampling
107,3,4.039808654865552,Thompson Sampling
108,3,3.7907458174312074,Thompson Sampling
109,3,5.2860369765015545,Thompson Sampling
110,3,5.554680895220771,Thompson Sampling
111,3,5.227102252589722,Thompson Sampling
112,3,3.735815584113727,Thompson Sampling
113,3,3.2095411043419895,Thompson Sampling
114,3,3.378781048923259,Thompson Sampling
115,3,4.017408568012068,Thompson Sampling
116,3,2.8944538403421913,Thompson Sampling
117,3,2.9295011028070173,Thompson Sampling
118,3,4.016217672037395,Thompson Sampling
119,3,4.957596040046592,Thompson Sampling
120,3,4.053455208716864,Thompson Sampling
121,3,4.9928756435296595,Thompson Sampling
122,3,5.815414030299759,Thompson Sampling
123,3,4.389802599339045,Thompson Sampling
124,3,2.5471441322355672,Thompson Sampling
125,3,4.153955578285235,Thompson Sampling
126,3,3.622178091124593,Thompson Sampling
127,3,2.943838320184131,Thompson Sampling
128,3,3.426676497227592,Thompson Sampling
129,3,1.7982894623055357,Thompson Sampling
130,3,5.368850965652548,Thompson Sampling
131,3,5.761488976839183,Thompson Sampling
132,3,4.050711078457488,Thompson Sampling
133,3,2.872151780076124,Thompson Sampling
134,3,2.935487536594276,Thompson Sampling
135,3,3.39298679081059,Thompson Sampling
